term,simple
Abdomen,"Belly, stomach"
Abdominal,"Referring to the body cavity which contains stomach, intestines, liver, and other organs"
Ablation,Remove
Absorb,"Take up fluids, take in"
Abrasion,Area where skin or other tissue is scraped away
Absorption,The way a drug or other substance enters the body
Abstain,Avoid
Acid taste,Sour taste
Accommodate,Meet/agree to
Accrediting agency,Reviewing agency; licensing agency
Acetaminophen,The active ingredient of Tylenol / Panadol
Acidosis,Condition when blood contains more acid than normal
Acknowledged,Accepted; recognized; approved
Acuity,"Clearness, keenness, esp. of vision - airways"
Acute,"New, recent, sudden"
Adenopathy,Swollen lymph nodes (glands)
Adhesion,Being stuck together
Adjuvant,"Helpful, assisting, aiding"
Adjuvant treatment,Added treatment
Adrenal gland,Gland found over each kidney
Adverse effect,Negative side effect
Adverse events,Injuries; bad reactions
After the delivery of treatment,After you�ve been treated
Agent,"Drug, medication"
albumin,Major protein in blood; maintains blood pressure and carries hormones and nutrients
Allergic reaction,"Rash, trouble breathing"
Alopecia,Loss of hair
Alternative,Choice
Ambulate-Ambulation- Ambulatory,"Walk, able to walk"
Amend,Change
Amnesia,Loss of memory; inability to remember
Amniocentesis,Removal of some of the water from around an unborn baby for laboratory testing
Analgesic,Pain relieving medication
Anaphylaxis,"Serious, potentially life threatening allergic reaction"
Anemia,Decreased red blood cells; low red blood cell count
Anesthesia,Loss of sensation or feeling
Anesthetic (general),A drug or agent used to decrease the feeling of pain or eliminate the feeling of pain by putting you to sleep
Anesthetic (local),"A drug or agent used to decrease the feeling of pain or by numbing an area of your body, without putting you to sleep"
Anesthetize,To numb; put to sleep
Angina (angina pectoris),Pain resulting from insufficient blood to the heart
Angioplasty,Operation to open up a narrow blood vessel
Anomalies,Physical defects
Anorexia,Condition in which a person will not eat; lack of appetite
Anoxia,No oxygen
Antacid,Drug used to decrease acid in the stomach
Antecubital,Area inside the elbow
Antibiotic,Drug that kills bacteria and other germs
Antibody,Natural chemical made in the body that fights infection
Anticonvulsant,Drug used to prevent seizures
Antiemetic,Medication to prevent nausea/vomiting
Antihistamine,Drug used to treat allergic reactions
Antilipidemic,A drug that decreases the level of fat(s) in the blood
Antimicrobial,A drug that kills bacteria and other germs
Antiretroviral,Drug that inhibits certain viruses
Antiseptic,Substance used to stop or slow down the growth of germs
Antitussive,A drug used to relieve coughing
Aphasia,Not able to speak or write and not able to understand spoken or written words
Aspiration,Inhale into the lungs; or removal of fluid through tube or needle
Arrhythmia,Any change from the normal heartbeat (abnormal heartbeat)
Artery,Type of blood vessel that carries blood and oxygen from the heart to the rest of the body
Arterial catheter,Small tube placed in an artery
Arthritis,Swelling of one or more joints
Asphyxia,"Suffocation, unable to get enough oxygen"
Aspiration,Fluid entering lungs
Assay,Lab test
Assent,Agreement
Assess,To learn about
Assist,Help
Asthenia,Loss of energy; weakness
Asthma,A lung disease associated with tightening of the air passages
Atrophy,Wasting away or decrease in size
Asymptomatic,Without symptoms
Audiogram,Report of a hearing test
Audiology,The study of hearing
Audiometer,Tool used to measure hearing
Audit,Review; inspect; look at
Authorization,Your written permission; your written approval
Authorizing disclosures,Allowing us to share information
Autonomy,Being able to make one's own decisions
Axilla,Armpit
bacteria,Bacteria in urine; normally sterile; presence indicates urinary tract infection
Barrier method (for birth control),"Birth control such as a diaphragm, condom, cervical cap, or sponge"
Baseline visit/period,First visit/period or the visit/period of testing before the investigational treatment starts
Benefit,A valued or desired outcome; an advantage
Benign,Something that has no bad effects or does not spread; not cancerous
Beta blocker,Drug used to slow down the heart
